Date,Price,Open,High,Low,Vol.,Change %
08/19/2025,340.66,367.01,368.39,338,1.91M,-7.73%
08/18/2025,369.19,338.51,371.63,338.51,3.14M,12.93%
08/15/2025,326.93,329.51,333.95,322.38,1.07M,-0.89%
08/14/2025,329.88,327.5,339.14,321.17,1.80M,0.59%
08/13/2025,327.93,324.02,328.92,307.05,2.49M,1.55%
08/12/2025,322.93,342.9,344.41,317.79,2.62M,-5.19%
08/11/2025,340.59,371.44,373.5,336.39,2.72M,-8.03%
08/08/2025,370.34,404.5,415.76,362.58,3.84M,-5.25%
08/07/2025,390.84,446,468,378,8.19M,13.75%
08/06/2025,343.61,343.8,347.25,334.01,3.16M,0.97%
08/05/2025,340.31,354.6,356.47,338.5,1.35M,-3.42%
08/04/2025,352.36,343.29,352.87,341.25,973.74K,3.94%
08/01/2025,338.99,342.23,344.33,330.32,1.02M,-2.18%
07/31/2025,346.55,342.82,357.26,338.05,1.24M,1.53%
07/30/2025,341.34,335.08,341.89,331.51,765.72K,2.29%
07/29/2025,333.71,342.5,342.75,331.22,967.07K,-1.99%
07/28/2025,340.49,362.25,364.06,335.1,1.78M,-6.48%
07/25/2025,364.09,362.42,365.36,360.11,626.16K,0.87%
07/24/2025,360.95,360.85,364.02,356,672.96K,0.32%
07/23/2025,359.79,358,366.64,357.65,1.05M,1.00%
07/22/2025,356.23,357.53,363.14,351.29,632.54K,0.11%
07/21/2025,355.85,371,372.01,354.05,809.81K,-3.95%
07/18/2025,370.49,358.34,371.87,352.81,1.04M,2.36%
07/17/2025,361.95,361.51,366,358.17,865.14K,0.17%
07/16/2025,361.35,378.31,378.31,355.06,1.11M,-4.48%
07/15/2025,378.31,377.8,382.59,372.14,588.69K,0.50%
07/14/2025,376.42,371.36,386.93,368,1.02M,1.51%
07/11/2025,370.82,381.38,383.8,368.43,680.81K,-2.53%
07/10/2025,380.44,390.75,391.81,378.95,875.76K,-2.64%
07/09/2025,390.75,390,400.43,383.68,834.51K,0.33%
07/08/2025,389.45,400.3,406.68,373.11,1.45M,-1.77%
07/07/2025,396.45,390.75,397.54,382.33,993.09K,1.17%
07/03/2025,391.86,397.11,402.27,388.26,552.23K,-1.29%
07/02/2025,397,400,406.03,395.55,637.60K,-1.50%
07/01/2025,403.06,409.24,413.72,394.15,779.57K,-1.70%
06/30/2025,410.02,416.35,426.8,409.1,903.23K,-0.30%
06/27/2025,411.26,402.43,412.59,389.33,1.58M,3.16%
06/26/2025,398.66,402,408.37,383.6,1.38M,0.25%
06/25/2025,397.68,435.04,437.4,396.51,1.43M,-5.94%
06/24/2025,422.79,454.65,455.76,417.28,1.56M,-5.74%
06/23/2025,448.54,470,472.12,446.75,1.25M,-4.88%
06/20/2025,471.57,477.42,483.03,465.8,1.34M,-1.50%
06/18/2025,478.73,478.84,482.68,473.18,486.64K,0.51%
06/17/2025,476.3,470.71,478.96,466,455.20K,0.29%
06/16/2025,474.9,482.57,489,471.79,695.16K,-0.75%
06/13/2025,478.48,471.94,485,471.05,550.60K,-0.62%
06/12/2025,481.48,475.36,482.57,470.15,651.45K,1.63%
06/11/2025,473.78,486.94,487.9,471.92,967.21K,-2.52%
06/10/2025,486.02,499.6,503.49,475.41,1.14M,-2.39%
